;2017;;;2018;;;2019;;;2020;;;2021;;;2022;;;2023;;
Barrio;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km
LOS ALPES;66;2.50;14.91;68;2.58;15.36;25;0.95;5.65;22;0.83;4.97;24;0.91;5.42;23;0.87;5.19;6;0.23;1.36
LOS ANDES;92;2.40;9.76;67;1.75;7.10;63;1.64;6.68;23;0.60;2.44;94;2.45;9.97;75;1.95;7.95;31;0.81;3.29
LOS ANGELES I;0;0.00;0.00;0;0.00;0.00;1;0.11;0.30;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00
LOS ANGELES II;16;0.74;2.13;17;0.78;2.27;6;0.28;0.80;6;0.28;0.80;32;1.47;4.27;18;0.83;2.40;3;0.14;0.40
LOS ANGELES III;1;0.08;0.28;2;0.17;0.56;0;0.00;0.00;0;0.00;0.00;2;0.17;0.56;0;0.00;0.00;0;0.00;0.00
LOS CONTINENTES;12;0.84;3.14;2;0.14;0.52;5;0.35;1.31;2;0.14;0.52;4;0.28;1.05;4;0.28;1.05;2;0.14;0.52
LOS GIRASOLES;0;0.00;0.00;0;0.00;0.00;4;0.28;0.80;6;0.41;1.20;11;0.76;2.21;13;0.90;2.61;0;0.00;0.00
LOS JOBOS;28;2.82;13.32;28;2.82;13.32;16;1.61;7.61;12;1.21;5.71;20;2.01;9.51;11;1.11;5.23;5;0.50;2.38
LOS LAURELES;2;0.39;1.49;2;0.39;1.49;3;0.59;2.24;1;0.20;0.75;2;0.39;1.49;0;0.00;0.00;0;0.00;0.00
LOS NOGALES;24;0.96;5.16;48;1.92;10.33;21;0.84;4.52;12;0.48;2.58;20;0.80;4.30;16;0.64;3.44;0;0.00;0.00
LOS OLIVOS;132;1.70;6.27;129;1.66;6.13;145;1.86;6.89;113;1.45;5.37;159;2.04;7.55;109;1.40;5.18;38;0.49;1.80
LOS PINOS;16;1.09;4.60;18;1.23;5.17;12;0.82;3.45;2;0.14;0.57;10;0.68;2.87;8;0.54;2.30;1;0.07;0.29
LOS TRUPILLOS;31;1.88;10.00;20;1.21;6.45;23;1.40;7.42;18;1.09;5.81;22;1.34;7.10;14;0.85;4.52;0;0.00;0.00
